"qchunk","unsplice_3_UTR","unsplice_5_UTR","unsplice_CDS_regions","unsplice_distal_introns","unsplice_exons","unsplice_proximal_introns","unsplice_splice_sites_3","unsplice_splice_sites_5","unsplice_TES_regions","unsplice_TSS_regions"
"MALAT1chk1",0.992365060432922,1,0.999999999949032,4.70350296751369e-14,1,0.999999661542108,0.999999999999581,0.99999999991419,1,1
"MALAT1chk2",0.0167223434162102,0.99999999999989,1.92080008442885e-06,0.766518932115838,0.995715370017819,6.08104470112519e-11,0.00818609897232837,0.0143372186837476,1,1
"MALAT1chk3",1,1,1,0,1,1,1,1,1,1
"MALAT1chk4",1,1,1,0,1,1,1,1,1,1
"MALAT1chk5",1,1,1,0,1,1,1,1,1,1
"MALAT1chk6",1,1,1,0,1,1,1,1,1,1
"MALAT1chk7",1.19269309605535e-17,1,1.68111850196809e-20,0.887711742075794,0.0441638798099645,0.000112953830870093,1.38427795357168e-06,3.5826499458028e-21,0.999999999999998,1
"MALAT1chk8",0.998831753966509,1,1,4.95064187161106e-35,1,1,1,0.999999999999978,1,1
"MALAT1chk9",1,1,1,1.82818872147381e-118,1,0.999999932027567,1,1,1,1
"NEAT1chk1",2.60397796920243e-92,0,0,1,0,0,0,0,0,0
"NEAT1chk2",0.0171576882129986,8.17547746035014e-35,1.02320001503994e-18,1,3.03700563240025e-32,3.91396087632911e-50,5.01560048032201e-65,3.49837463226422e-19,3.85931859989944e-06,6.175727972171e-94
"NEAT1chk3",0.000928032427557707,0.999999999561134,1.55845822831871e-12,0.0710052058878987,0.957291583127328,1.91024579544424e-08,3.65764135878902e-23,3.45700550047578e-17,1,1
"NEAT1chk4",1,1,1,0,1,1,1,1,1,1
"NEAT1chk5",4.40138809234816e-08,1.62735543883771e-06,9.5700302846063e-06,1,5.64258787215287e-18,1.95932927874753e-22,3.17870206089856e-22,3.69819433328687e-15,7.81769956830538e-12,1.1716526975169e-35
"NEAT1chk6",0.91810919512317,0.798690108609693,0.48669552935971,0.00141563267135385,0.969476145256306,0.666719664818237,0.371105622520402,0.0548811162642938,0.997625163871399,0.997061716027234
"NEAT1chk7",1,1,1,0,1,1,1,1,1,1
"NEAT1chk8",0.999999999990938,1,1,1.61805390575478e-58,1,1,1,1,1,1
"NEAT1chk9",1,1,1,0,1,1,1,1,1,1
"NEAT1chk10",1,1,1,0,1,1,1,1,1,1
"NEAT1chk11",1,1,1,0,1,1,1,1,1,1
"NEAT1chk12",1,1,1,0,1,1,1,1,1,1
"NEAT1chk13",1,1,1,0,1,1,1,1,1,1
"NEAT1chk14",0.0196441530200776,0.999996601598552,0.998999165748022,0.62878624686088,0.94334461850005,0.00155876584293777,0.986180135738878,0.36666944429939,0.0376189407040992,0.0706850698677012
"NEAT1chk15",1,1,1,0,1,1,1,1,1,1
"NEAT1chk16",1,1,1,0,1,1,1,1,1,1
"NEAT1chk17",1,1,1,0,1,1,1,1,1,1
"NEAT1chk18",1,1,1,1.28538887681745e-22,1,0.00100455603211777,1,1,0.923232868029871,0.999773828079232
"NEAT1chk19",1,1,1,3.01337612192179e-190,1,1,1,1,1,1
"NEAT1chk20",1,1,1,1.80575937389662e-68,1,1,1,1,1,1
"NEAT1chk21",2.55722973621702e-177,9.90175337261447e-99,0,1,0,0,0,0,1.0202131372453e-303,0
"NEAT1chk22",6.74683553579782e-240,0,0,1,0,0,0,0,0,0
"XISTint1",1,1,1,2.76712067361029e-141,1,1,1,1,1,1
"XISTint2",0.906614520406875,0.813980758121128,0.99999999996614,0.999999715872201,0.89240079974283,2.21246813359514e-20,0.997272271859497,1.60456354360736e-11,0.000644841896641377,2.99685795094971e-17
"XISTint3",0.999999999999929,1,1,1.77075519732558e-192,1,1,1,1,1,1
"XISTint4",1,1,1,0,1,1,1,1,1,1
"XISTint5",1,1,1,0,1,1,1,1,1,1
"XISTint6",1,1,1,0,1,1,1,1,1,1
"XISTint7",1,1,1,0,1,1,1,1,1,1
"XISTint8",1,1,1,0,1,1,1,1,1,1
"XISTint9",0.77215949229187,0.996708383761414,0.999822440884424,0.00135222495896528,0.999415918631298,0.995026408192558,0.996879027879563,0.994774370703915,0.939071201684872,0.995290980011474
"XISTint10",0.999444618530042,0.997462291728763,0.975168048216793,7.04794544979957e-05,0.999996930985373,0.853906696594602,0.99276496308733,0.996402440873902,0.999586818617526,0.994060145888274
"XISTint11",1,1,1,0,1,1,1,1,1,1
"XISTint12",1,1,1,0,1,1,1,1,1,1
"XISTint13",1,1,1,0,1,1,1,1,1,1
"XISTint14",1,1,1,0,1,1,1,1,1,1
"XISTrA",1,2.51289365833829e-27,0.999976364165085,3.13996730237718e-11,0.999976321357818,1,0.316257361345574,0.999994309096135,1,9.3853661914953e-07
"XISTrB1",2.36247726454183e-12,1.54316673205513e-125,1.736788605479e-172,1,2.68520921452582e-243,8.22325138735079e-45,1.50481956639058e-98,4.38226639863871e-47,1.847323395571e-53,0
"XISTrB2",1.80368628037649e-07,1.01024200841981e-238,7.34726592574988e-97,1,1.1098370628793e-308,3.33245201489614e-105,4.24285395923938e-126,2.3948309858304e-38,4.39018778388792e-73,0
"XISTrD",0.299331102797558,0.999973590065876,0.0110508488717246,0.610979691332756,0.036990831409634,0.458673290776168,0.200277320097672,6.20712676527234e-05,9.6807804317409e-05,0.1967000759104
"XISTrE",1,1,1,1.20851511187412e-283,1,1,1,1,1,1
"XISTrF",0.99999997879499,1.18304461337097e-13,0.771519773098144,0.947518609371777,0.274930392360182,2.22475297906433e-12,4.96334101537116e-12,0.970137486042449,0.984123726750809,7.83408252952549e-22
