"qchunk","unsplice_3_UTR_adjp","unsplice_5_UTR_adjp","unsplice_CDS_regions_adjp","unsplice_distal_introns_adjp","unsplice_exons_adjp","unsplice_proximal_introns_adjp","unsplice_splice_sites_3_adjp","unsplice_splice_sites_5_adjp","unsplice_TES_regions_adjp","unsplice_TSS_regions_adjp"
"MALAT1chk1",1,1,1,5.63261507255719e-64,1,1,1,1,1,1
"MALAT1chk2",0.455169383599544,1,0.140245630886525,0.0223151624437131,1,1,0.234344569763677,0.0487563009936436,1,1
"MALAT1chk3",1,1,1,8.976790611305e-53,1,1,1,1,1,1
"MALAT1chk4",1,1,1,4.01378989928937e-295,1,1,1,1,1,1
"MALAT1chk5",1,1,1,2.00094487063997e-131,1,1,1,1,1,1
"MALAT1chk6",1,1,1,6.29088806202932e-119,1,1,1,1,1,1
"MALAT1chk7",0.00673933065268599,1,0.0410037201544774,1,0.422452334397188,0.317418729328221,0.032748729145366,0.00118001842025055,1,1
"MALAT1chk8",1,1,1,9.72186957798497e-16,1,1,1,1,1,1
"MALAT1chk9",1,1,1,3.65000835067663e-54,1,1,1,1,1,1
"NEAT1chk1",3.58483602874951e-119,0,0,1,0,0,0,0,0,0
"NEAT1chk2",1,0.0101064632237333,0.353976197323037,1,0.0514032248442948,0.0793546388969967,0.000431262442482174,0.0494080713462577,1,1.11607058578242e-06
"NEAT1chk3",1,0.523674653800995,1,0.273131246790353,1,0.0144237201452214,0.229038251557864,1,1,0.286819617004492
"NEAT1chk4",1,1,1,0,1,1,1,1,1,1
"NEAT1chk5",0.000197046501991481,1,0.0193949411058455,1,5.17550924006041e-05,0.000157417090842066,9.28221477907598e-05,3.90901816435771e-05,0.00408765496740294,0.00121564130895707
"NEAT1chk6",1,1,1,0.390375727099201,1,1,1,1,1,1
"NEAT1chk7",1,1,1,0,1,1,1,1,1,1
"NEAT1chk8",1,1,1,1.1737583995941e-05,1,1,1,1,1,1
"NEAT1chk9",1,1,1,0,1,1,1,1,1,1
"NEAT1chk10",1,1,1,0,1,1,1,1,1,1
"NEAT1chk11",1,1,1,0,1,1,1,1,1,1
"NEAT1chk12",1,1,1,0,1,1,1,1,1,1
"NEAT1chk13",1,1,1,9.00365123226688e-76,1,1,1,1,1,1
"NEAT1chk14",1,1,1,0.0535125911177927,1,1,1,1,1,1
"NEAT1chk15",1,1,1,0,1,1,1,1,1,1
"NEAT1chk16",1,1,1,0,1,1,1,1,1,1
"NEAT1chk17",1,1,1,3.12052548224902e-31,1,0.855899030551499,1,1,1,1
"NEAT1chk18",1,1,1,2.24987234781787e-28,1,1,1,1,1,1
"NEAT1chk19",1,1,1,1.46887004604165e-17,1,1,1,1,1,1
"NEAT1chk20",1,1,1,1.47640015746872e-20,1,1,1,1,1,1
"NEAT1chk21",5.46448548478684e-72,3.57288321004196e-45,1.23772968675975e-174,1,4.62719383461571e-203,3.01284339292495e-179,2.81304733745295e-199,6.44335100569659e-167,7.21910694597504e-126,4.06884959274214e-200
"NEAT1chk22",2.59559230177196e-81,5.97730585212962e-140,9.2945898045101e-316,1,0,5.89268197066544e-305,0,6.66843880710348e-276,2.21206501725607e-184,0
"XISTint1",1,1,1,3.46083862993389e-30,1,1,1,1,1,1
"XISTint2",2.12647014492406e-05,2.00443474296841e-05,2.32872863212911e-17,1,1.06567369826901e-19,1.06200142657539e-09,7.14564670972778e-15,1.03099478976683e-14,1.92383257123164e-06,2.20521545952048e-25
"XISTint3",1,1,1,5.61455023318778e-126,1,1,1,1,1,1
"XISTint4",1,1,1,5.54109811936539e-198,1,1,1,1,1,1
"XISTint5",1,1,1,7.06293924836857e-128,1,1,1,1,1,1
"XISTint6",1,1,1,1.23509992525894e-233,1,1,1,1,1,1
"XISTint7",1,1,1,2.84283962564521e-37,1,1,1,1,1,1
"XISTint8",1,1,1,9.47566434533902e-216,1,1,1,1,1,1
"XISTint9",1,1,1,0.302014778034795,1,0.295649337483356,1,1,1,1
"XISTint10",1,1,1,0.0904333860682316,1,1,1,1,1,1
"XISTint11",1,1,1,0,1,1,1,1,1,1
"XISTint12",1,1,1,0,1,1,1,1,1,1
"XISTint13",1,1,1,0,1,1,1,1,1,1
"XISTint14",1,1,1,1.05739594307829e-211,1,1,1,1,1,1
"XISTrA",1,2.57288804977702e-33,1.34971976029845e-10,1,3.83802017347163e-11,2.50536733261238e-10,1.61294597201136e-17,9.07308368913488e-05,1,2.19942131426314e-30
"XISTrB1",4.83993664271039e-07,1.07153074590145e-161,5.55706360360517e-150,1,3.45477916079001e-221,2.49798660802645e-36,5.7380066397504e-107,1.6667876204854e-34,2.37114613286166e-27,0
"XISTrB2",0.00673933065268599,5.38167854431803e-168,2.64640265501255e-107,1,8.98577291934937e-204,3.85790482743385e-53,3.64875333243887e-111,3.54023230633647e-30,4.00508070499347e-26,0
"XISTrD",1,1,1,1,1,0.210304123544808,1,1,0.678426051001874,0.00791413186001429
"XISTrE",1,1,1,1.23941294153758e-63,1,1,1,1,1,1
"XISTrF",1,5.46163424375375e-13,1,0.155029219696672,1,1,0.000334840863949249,1,1,0.00016645692514669
