"qchunk","unsplice_3_UTR_adjp","unsplice_5_UTR_adjp","unsplice_CDS_regions_adjp","unsplice_distal_introns_adjp","unsplice_exons_adjp","unsplice_proximal_introns_adjp","unsplice_splice_sites_3_adjp","unsplice_splice_sites_5_adjp","unsplice_TES_regions_adjp","unsplice_TSS_regions_adjp"
"MALAT1chk1",1,1,1,5.06637802845563e-157,1,1,1,1,1,1
"MALAT1chk2",0.000310115907209272,1,1.0442333022911e-11,0.39363635414074,0.810006060073088,0.31809611104233,4.20154622182807e-10,1.86149197318878e-10,1,1
"MALAT1chk3",1,1,1,7.2442087082173e-185,1,1,1,1,1,1
"MALAT1chk4",1,1,1,0,1,1,1,1,1,1
"MALAT1chk5",1,1,1,0,1,1,1,1,1,1
"MALAT1chk6",1,1,1,0,1,1,1,1,1,1
"MALAT1chk7",0.000190397626339116,1,0.44814453830564,3.67981066725214e-16,1,1,1,0.0645556176774734,1,1
"MALAT1chk8",1,1,1,3.17425792721019e-33,1,1,1,1,1,1
"MALAT1chk9",1,1,1,1.02687031836483e-32,1,1,1,1,1,1
"NEAT1chk1",4.16925446065865e-221,0,0,1,0,0,0,0,0,0
"NEAT1chk2",7.80600730369874e-09,1.50796732350627e-76,1.53596125855713e-74,1,3.53818642703567e-82,2.84423418525053e-46,1.02922764488631e-129,3.50418059706125e-45,1.18251388028688e-09,3.18610075440022e-106
"NEAT1chk3",0.00480470988435431,9.42312813460289e-07,1.27309139149946e-10,1,7.61476344654441e-07,8.24647436961184e-13,6.20598162923666e-38,4.7545257887714e-11,1,0.0113637710073978
"NEAT1chk4",1,1,1,0,1,1,1,1,1,1
"NEAT1chk5",6.18913373191581e-12,1.12813774036135e-06,6.2724424309513e-22,1,1.81864697638756e-25,4.81913262575022e-10,8.31714925413492e-37,1.22616099303085e-37,3.83170413364607e-08,3.15128235845577e-20
"NEAT1chk6",0.0049009793503573,1,2.0890588993199e-10,0.041342983135226,0.108386549260618,1,7.27559365237339e-08,9.3224875301725e-10,1,1
"NEAT1chk7",1,1,1,0,1,1,1,1,1,1
"NEAT1chk8",0.00199995107184606,1,1,0.00461655005893091,1,1,1,0.179091883639892,1,1
"NEAT1chk9",1,1,1,0,1,1,1,1,1,1
"NEAT1chk10",1,1,1,0,1,1,1,1,1,1
"NEAT1chk11",1,1,1,0,1,1,1,1,1,1
"NEAT1chk12",1,1,1,0,1,1,1,1,1,1
"NEAT1chk13",1,1,1,2.00166735186251e-254,1,1,1,1,1,1
"NEAT1chk14",0.00480470988435431,1,0.0180304284324616,0.00992352402866887,1,1,0.0067088590984976,3.08495583095996e-06,1,1
"NEAT1chk15",1,1,1,0,1,1,1,1,1,1
"NEAT1chk16",1,1,1,0,1,1,1,1,1,1
"NEAT1chk17",1,1,1,9.6401490016156e-30,1,0.579926528387241,1,1,1,1
"NEAT1chk18",1,1,1,1.21745005268336e-25,1,0.809173002384815,1,1,1,1
"NEAT1chk19",0.449349193881416,1,1,9.38698653784512e-08,1,1,0.0183861675699418,0.0727371980070322,1,1
"NEAT1chk20",1,1,1,7.90934124607318e-17,1,0.31809611104233,1,1,1,1
"NEAT1chk21",1.33638441335961e-216,0,0,1,0,0,0,0,0,0
"NEAT1chk22",4.33373297656342e-212,0,0,1,0,0,0,0,0,0
"XISTint1",1,1,1,1.3479431895323e-46,1,1,1,1,1,1
"XISTint2",7.90703013133744e-26,1.94229382637232e-139,1.20432525807246e-225,1,6.55000957078824e-231,4.86862869274713e-59,2.0423298413663e-164,2.84447986032769e-93,2.5446154403202e-34,3.41213413858159e-250
"XISTint3",1,1,1,0,1,1,1,1,1,1
"XISTint4",1,1,1,1.47435179755435e-217,1,1,1,1,1,1
"XISTint5",1,1,1,2.79260121259681e-252,1,1,1,1,1,1
"XISTint6",1,1,1,0,1,1,1,1,1,1
"XISTint7",1,1,1,1.95657006001916e-31,1,1,1,1,1,1
"XISTint8",1,1,1,0,1,1,1,1,1,1
"XISTint9",1,1,1,8.76119127139087e-09,1,1,1,1,1,1
"XISTint10",0.0945369778042179,1,1,0.0847938387121095,1,1,1,1,1,1
"XISTint11",1,1,1,0,1,1,1,1,1,1
"XISTint12",1,1,1,0,1,1,1,1,1,1
"XISTint13",1,1,1,0,1,1,1,1,1,1
"XISTint14",1,1,1,0,1,1,1,1,1,1
"XISTrA",1,6.18220497423903e-289,2.24099133752418e-150,1,7.08362112184093e-243,5.92047828320024e-87,5.21086456728805e-225,3.74063250299273e-33,0.000568900940881057,0
"XISTrB1",4.28603834804518e-17,0,0,1,0,1.82192017177881e-134,0,1.33253684488474e-125,7.85885877038755e-81,0
"XISTrB2",7.58283527581274e-09,0,0,1,0,1.81662635642994e-99,0,1.47557706476997e-73,2.52979677450537e-52,0
"XISTrD",0.00480470988435431,1.27888560413646e-08,1.49375608771089e-14,1,9.35369878506374e-19,3.72881460863087e-08,2.26474267563712e-16,1.58245219818853e-13,7.92609063707162e-07,3.90267238283715e-22
"XISTrE",1,0.334246717506524,1,3.82789031974051e-11,1,1,0.00239364282072493,2.65716355865173e-08,1,1
"XISTrF",1,3.87571220496151e-133,1.03732641794387e-43,1,1.1527237770228e-45,1.17469770178848e-15,1.06659576032861e-112,2.65716355865173e-08,1,6.12723395456229e-95
